u,v,color,bend
NoI00,NoI01,orange,30
NoI00,NoI02,green,30
NoI01,NoI03,green,30
NoI02,NoI04,green,30
NoI03,NoI04,orange,30
NoI10,NoI11,orange,30
NoI10,NoI12,green,30
NoI11,NoI13,green,30
NoI12,NoI14,green,30
NoI13,NoI14,orange,30
NoI20,NoI21,orange,30
NoI20,NoI22,green,30
NoI21,NoI23,green,30
NoI22,NoI24,green,30
NoI23,NoI24,orange,30
NoI30,NoI31,orange,30
NoI30,NoI32,green,30
NoI31,NoI33,green,30
NoI32,NoI34,green,30
NoI33,NoI34,orange,30
NoI00,NoI11,red,0
NoI10,NoI01,red,0
NoI20,NoI31,red,0
NoI30,NoI21,red,0
NoI01,NoI22,green,0
NoI11,NoI32,green,0
NoI21,NoI02,green,0
NoI31,NoI12,green,0
NoI02,NoI23,green,0
NoI12,NoI33,green,0
NoI22,NoI03,green,0
NoI32,NoI13,green,0
NoI03,NoI14,red,0
NoI13,NoI04,red,0
NoI23,NoI34,red,0
NoI33,NoI24,red,0
Dir0,NoI00,black,0
Dir1,NoI00,black,0
Dir2,NoI10,black,0
Dir3,NoI10,black,0
Dir4,NoI20,black,0
Dir5,NoI20,black,0
Dir6,NoI30,black,0
Dir7,NoI30,black,0
Dir8,NoI04,black,0
Dir9,NoI04,black,0
Dir10,NoI14,black,0
Dir11,NoI14,black,0
Dir12,NoI24,black,0
Dir13,NoI24,black,0
Dir14,NoI34,black,0
Dir15,NoI34,black,0
