u,v,color,bend
L100,NoC00,black,0
L101,NoC01,black,0
L102,NoC02,black,0
L103,NoC03,black,0
L104,NoC04,black,0
L105,NoC05,black,0
L106,NoC06,black,0
L107,NoC07,black,0
L110,NoC10,black,0
L111,NoC11,black,0
L112,NoC12,black,0
L113,NoC13,black,0
L114,NoC14,black,0
L115,NoC15,black,0
L116,NoC16,black,0
L117,NoC17,black,0
L120,NoC20,black,0
L121,NoC21,black,0
L122,NoC22,black,0
L123,NoC23,black,0
L124,NoC24,black,0
L125,NoC25,black,0
L126,NoC26,black,0
L127,NoC27,black,0
L130,NoC30,black,0
L131,NoC31,black,0
L132,NoC32,black,0
L133,NoC33,black,0
L134,NoC34,black,0
L135,NoC35,black,0
L136,NoC36,black,0
L137,NoC37,black,0
L140,NoC40,black,0
L141,NoC41,black,0
L142,NoC42,black,0
L143,NoC43,black,0
L144,NoC44,black,0
L145,NoC45,black,0
L146,NoC46,black,0
L147,NoC47,black,0
L150,NoC50,black,0
L151,NoC51,black,0
L152,NoC52,black,0
L153,NoC53,black,0
L154,NoC54,black,0
L155,NoC55,black,0
L156,NoC56,black,0
L157,NoC57,black,0
L160,NoC60,black,0
L161,NoC61,black,0
L162,NoC62,black,0
L163,NoC63,black,0
L164,NoC64,black,0
L165,NoC65,black,0
L166,NoC66,black,0
L167,NoC67,black,0
L170,NoC70,black,0
L171,NoC71,black,0
L172,NoC72,black,0
L173,NoC73,black,0
L174,NoC74,black,0
L175,NoC75,black,0
L176,NoC76,black,0
L177,NoC77,black,0
Dir0,NoI00,black,0
Dir1,NoI00,black,0
Dir2,NoI10,black,0
Dir3,NoI10,black,0
Dir4,NoI20,black,0
Dir5,NoI20,black,0
Dir6,NoI30,black,0
Dir7,NoI30,black,0
Dir8,NoI04,black,0
Dir9,NoI04,black,0
Dir10,NoI14,black,0
Dir11,NoI14,black,0
Dir12,NoI24,black,0
Dir13,NoI24,black,0
Dir14,NoI34,black,0
Dir15,NoI34,black,0
NoC00,NoC01,black,0
NoC01,NoC02,black,0
NoC02,NoC03,black,0
NoC04,NoC05,black,0
NoC05,NoC06,black,0
NoC06,NoC07,black,0
NoC10,NoC11,black,0
NoC11,NoC12,black,0
NoC12,NoC13,black,0
NoC14,NoC15,black,0
NoC15,NoC16,black,0
NoC16,NoC17,black,0
NoC20,NoC21,black,0
NoC21,NoC22,black,0
NoC22,NoC23,black,0
NoC24,NoC25,black,0
NoC25,NoC26,black,0
NoC26,NoC27,black,0
NoC30,NoC31,black,0
NoC31,NoC32,black,0
NoC32,NoC33,black,0
NoC34,NoC35,black,0
NoC35,NoC36,black,0
NoC36,NoC37,black,0
NoC40,NoC41,black,0
NoC41,NoC42,black,0
NoC42,NoC43,black,0
NoC44,NoC45,black,0
NoC45,NoC46,black,0
NoC46,NoC47,black,0
NoC50,NoC51,black,0
NoC51,NoC52,black,0
NoC52,NoC53,black,0
NoC54,NoC55,black,0
NoC55,NoC56,black,0
NoC56,NoC57,black,0
NoC60,NoC61,black,0
NoC61,NoC62,black,0
NoC62,NoC63,black,0
NoC64,NoC65,black,0
NoC65,NoC66,black,0
NoC66,NoC67,black,0
NoC70,NoC71,black,0
NoC71,NoC72,black,0
NoC72,NoC73,black,0
NoC74,NoC75,black,0
NoC75,NoC76,black,0
NoC76,NoC77,black,0
NoC07,NoC06,black,0
NoC06,NoC05,black,0
NoC05,NoC04,black,0
NoC03,NoC02,black,0
NoC02,NoC01,black,0
NoC01,NoC00,black,0
NoC17,NoC16,black,0
NoC16,NoC15,black,0
NoC15,NoC14,black,0
NoC13,NoC12,black,0
NoC12,NoC11,black,0
NoC11,NoC10,black,0
NoC27,NoC26,black,0
NoC26,NoC25,black,0
NoC25,NoC24,black,0
NoC23,NoC22,black,0
NoC22,NoC21,black,0
NoC21,NoC20,black,0
NoC37,NoC36,black,0
NoC36,NoC35,black,0
NoC35,NoC34,black,0
NoC33,NoC32,black,0
NoC32,NoC31,black,0
NoC31,NoC30,black,0
NoC47,NoC46,black,0
NoC46,NoC45,black,0
NoC45,NoC44,black,0
NoC43,NoC42,black,0
NoC42,NoC41,black,0
NoC41,NoC40,black,0
NoC57,NoC56,black,0
NoC56,NoC55,black,0
NoC55,NoC54,black,0
NoC53,NoC52,black,0
NoC52,NoC51,black,0
NoC51,NoC50,black,0
NoC67,NoC66,black,0
NoC66,NoC65,black,0
NoC65,NoC64,black,0
NoC63,NoC62,black,0
NoC62,NoC61,black,0
NoC61,NoC60,black,0
NoC77,NoC76,black,0
NoC76,NoC75,black,0
NoC75,NoC74,black,0
NoC73,NoC72,black,0
NoC72,NoC71,black,0
NoC71,NoC70,black,0
NoC00,NoC10,black,0
NoC10,NoC20,black,0
NoC20,NoC30,black,0
NoC40,NoC50,black,0
NoC50,NoC60,black,0
NoC60,NoC70,black,0
NoC01,NoC11,black,0
NoC11,NoC21,black,0
NoC21,NoC31,black,0
NoC41,NoC51,black,0
NoC51,NoC61,black,0
NoC61,NoC71,black,0
NoC02,NoC12,black,0
NoC12,NoC22,black,0
NoC22,NoC32,black,0
NoC42,NoC52,black,0
NoC52,NoC62,black,0
NoC62,NoC72,black,0
NoC03,NoC13,black,0
NoC13,NoC23,black,0
NoC23,NoC33,black,0
NoC43,NoC53,black,0
NoC53,NoC63,black,0
NoC63,NoC73,black,0
NoC04,NoC14,black,0
NoC14,NoC24,black,0
NoC24,NoC34,black,0
NoC44,NoC54,black,0
NoC54,NoC64,black,0
NoC64,NoC74,black,0
NoC05,NoC15,black,0
NoC15,NoC25,black,0
NoC25,NoC35,black,0
NoC45,NoC55,black,0
NoC55,NoC65,black,0
NoC65,NoC75,black,0
NoC06,NoC16,black,0
NoC16,NoC26,black,0
NoC26,NoC36,black,0
NoC46,NoC56,black,0
NoC56,NoC66,black,0
NoC66,NoC76,black,0
NoC07,NoC17,black,0
NoC17,NoC27,black,0
NoC27,NoC37,black,0
NoC47,NoC57,black,0
NoC57,NoC67,black,0
NoC67,NoC77,black,0
NoC70,NoC60,black,0
NoC60,NoC50,black,0
NoC50,NoC40,black,0
NoC30,NoC20,black,0
NoC20,NoC10,black,0
NoC10,NoC00,black,0
NoC71,NoC61,black,0
NoC61,NoC51,black,0
NoC51,NoC41,black,0
NoC31,NoC21,black,0
NoC21,NoC11,black,0
NoC11,NoC01,black,0
NoC72,NoC62,black,0
NoC62,NoC52,black,0
NoC52,NoC42,black,0
NoC32,NoC22,black,0
NoC22,NoC12,black,0
NoC12,NoC02,black,0
NoC73,NoC63,black,0
NoC63,NoC53,black,0
NoC53,NoC43,black,0
NoC33,NoC23,black,0
NoC23,NoC13,black,0
NoC13,NoC03,black,0
NoC74,NoC64,black,0
NoC64,NoC54,black,0
NoC54,NoC44,black,0
NoC34,NoC24,black,0
NoC24,NoC14,black,0
NoC14,NoC04,black,0
NoC75,NoC65,black,0
NoC65,NoC55,black,0
NoC55,NoC45,black,0
NoC35,NoC25,black,0
NoC25,NoC15,black,0
NoC15,NoC05,black,0
NoC76,NoC66,black,0
NoC66,NoC56,black,0
NoC56,NoC46,black,0
NoC36,NoC26,black,0
NoC26,NoC16,black,0
NoC16,NoC06,black,0
NoC77,NoC67,black,0
NoC67,NoC57,black,0
NoC57,NoC47,black,0
NoC37,NoC27,black,0
NoC27,NoC17,black,0
NoC17,NoC07,black,0
NoI00,NoI01,black,0
NoI01,NoI02,black,0
NoI02,NoI03,black,0
NoI03,NoI04,black,0
NoI10,NoI11,black,0
NoI11,NoI12,black,0
NoI12,NoI13,black,0
NoI13,NoI14,black,0
NoI20,NoI21,black,0
NoI21,NoI22,black,0
NoI22,NoI23,black,0
NoI23,NoI24,black,0
NoI30,NoI31,black,0
NoI31,NoI32,black,0
NoI32,NoI33,black,0
NoI33,NoI34,black,0
NoI04,NoI03,black,0
NoI03,NoI02,black,0
NoI02,NoI01,black,0
NoI01,NoI00,black,0
NoI14,NoI13,black,0
NoI13,NoI12,black,0
NoI12,NoI11,black,0
NoI11,NoI10,black,0
NoI24,NoI23,black,0
NoI23,NoI22,black,0
NoI22,NoI21,black,0
NoI21,NoI20,black,0
NoI34,NoI33,black,0
NoI33,NoI32,black,0
NoI32,NoI31,black,0
NoI31,NoI30,black,0
NoI00,NoI11,red,0
NoI10,NoI01,red,0
NoI20,NoI31,red,0
NoI30,NoI21,red,0
NoI01,NoI22,green,0
NoI11,NoI32,green,0
NoI21,NoI02,green,0
NoI31,NoI12,green,0
NoI02,NoI23,green,0
NoI12,NoI33,green,0
NoI22,NoI03,green,0
NoI32,NoI13,green,0
NoI03,NoI14,red,0
NoI13,NoI04,red,0
NoI23,NoI34,red,0
NoI33,NoI24,red,0
