id,color,x,y,layer
NoC00,black,0,0,2
L100,blue,1,1,2
NoC01,black,0,2,2
L101,blue,1,3,2
NoC02,black,0,4,2
L102,blue,1,5,2
NoC03,black,0,6,2
L103,blue,1,7,2
NoC04,black,0,8,2
L104,blue,1,9,2
NoC05,black,0,10,2
L105,blue,1,11,2
NoC06,black,0,12,2
L106,blue,1,13,2
NoC07,black,0,14,2
L107,blue,1,15,2
NoC10,black,2,0,2
L110,blue,3,1,2
NoC11,black,2,2,2
L111,blue,3,3,2
NoC12,black,2,4,2
L112,blue,3,5,2
NoC13,black,2,6,2
L113,blue,3,7,2
NoC14,black,2,8,2
L114,blue,3,9,2
NoC15,black,2,10,2
L115,blue,3,11,2
NoC16,black,2,12,2
L116,blue,3,13,2
NoC17,black,2,14,2
L117,blue,3,15,2
NoC20,black,4,0,2
L120,blue,5,1,2
NoC21,black,4,2,2
L121,blue,5,3,2
NoC22,black,4,4,2
L122,blue,5,5,2
NoC23,black,4,6,2
L123,blue,5,7,2
NoC24,black,4,8,2
L124,blue,5,9,2
NoC25,black,4,10,2
L125,blue,5,11,2
NoC26,black,4,12,2
L126,blue,5,13,2
NoC27,black,4,14,2
L127,blue,5,15,2
NoC30,black,6,0,2
L130,blue,7,1,2
NoC31,black,6,2,2
L131,blue,7,3,2
NoC32,black,6,4,2
L132,blue,7,5,2
NoC33,black,6,6,2
L133,blue,7,7,2
NoC34,black,6,8,2
L134,blue,7,9,2
NoC35,black,6,10,2
L135,blue,7,11,2
NoC36,black,6,12,2
L136,blue,7,13,2
NoC37,black,6,14,2
L137,blue,7,15,2
NoC40,black,8,0,2
L140,blue,9,1,2
NoC41,black,8,2,2
L141,blue,9,3,2
NoC42,black,8,4,2
L142,blue,9,5,2
NoC43,black,8,6,2
L143,blue,9,7,2
NoC44,black,8,8,2
L144,blue,9,9,2
NoC45,black,8,10,2
L145,blue,9,11,2
NoC46,black,8,12,2
L146,blue,9,13,2
NoC47,black,8,14,2
L147,blue,9,15,2
NoC50,black,10,0,2
L150,blue,11,1,2
NoC51,black,10,2,2
L151,blue,11,3,2
NoC52,black,10,4,2
L152,blue,11,5,2
NoC53,black,10,6,2
L153,blue,11,7,2
NoC54,black,10,8,2
L154,blue,11,9,2
NoC55,black,10,10,2
L155,blue,11,11,2
NoC56,black,10,12,2
L156,blue,11,13,2
NoC57,black,10,14,2
L157,blue,11,15,2
NoC60,black,12,0,2
L160,blue,13,1,2
NoC61,black,12,2,2
L161,blue,13,3,2
NoC62,black,12,4,2
L162,blue,13,5,2
NoC63,black,12,6,2
L163,blue,13,7,2
NoC64,black,12,8,2
L164,blue,13,9,2
NoC65,black,12,10,2
L165,blue,13,11,2
NoC66,black,12,12,2
L166,blue,13,13,2
NoC67,black,12,14,2
L167,blue,13,15,2
NoC70,black,14,0,2
L170,blue,15,1,2
NoC71,black,14,2,2
L171,blue,15,3,2
NoC72,black,14,4,2
L172,blue,15,5,2
NoC73,black,14,6,2
L173,blue,15,7,2
NoC74,black,14,8,2
L174,blue,15,9,2
NoC75,black,14,10,2
L175,blue,15,11,2
NoC76,black,14,12,2
L176,blue,15,13,2
NoC77,black,14,14,2
L177,blue,15,15,2
NoI00,orange,1,-3,1
Dir0,green,0,-5,1
Dir1,green,2,-5,1
NoI01,orange,1,1,1
NoI02,orange,1,5,1
NoI03,orange,1,9,1
NoI04,orange,1,13,1
Dir8,green,0,15,1
Dir9,green,2,15,1
NoI10,orange,5,-3,1
Dir2,green,4,-5,1
Dir3,green,6,-5,1
NoI11,orange,5,1,1
NoI12,orange,5,5,1
NoI13,orange,5,9,1
NoI14,orange,5,13,1
Dir10,green,4,15,1
Dir11,green,6,15,1
NoI20,orange,9,-3,1
Dir4,green,8,-5,1
Dir5,green,10,-5,1
NoI21,orange,9,1,1
NoI22,orange,9,5,1
NoI23,orange,9,9,1
NoI24,orange,9,13,1
Dir12,green,8,15,1
Dir13,green,10,15,1
NoI30,orange,13,-3,1
Dir6,green,12,-5,1
Dir7,green,14,-5,1
NoI31,orange,13,1,1
NoI32,orange,13,5,1
NoI33,orange,13,9,1
NoI34,orange,13,13,1
Dir14,green,12,15,1
Dir15,green,14,15,1
