u,v,color,bend,opacity
Dir0,NoI00,red,0,0.5
Dir1,NoI00,red,0,0.5
Dir2,NoI10,red,0,0.5
Dir3,NoI10,red,0,0.5
Dir4,NoI20,red,0,0.5
Dir5,NoI20,red,0,0.5
Dir6,NoI30,red,0,0.5
Dir7,NoI30,red,0,0.5
Dir8,NoI04,red,0,0.5
Dir9,NoI04,red,0,0.5
Dir10,NoI14,red,0,0.5
Dir11,NoI14,red,0,0.5
Dir12,NoI24,red,0,0.5
Dir13,NoI24,red,0,0.5
Dir14,NoI34,red,0,0.5
Dir15,NoI34,red,0,0.5
NoC00,NoC01,black,0,1
NoC01,NoC02,black,0,1
NoC02,NoC03,black,0,1
NoC04,NoC05,black,0,1
NoC05,NoC06,black,0,1
NoC06,NoC07,black,0,1
NoC10,NoC11,black,0,1
NoC11,NoC12,black,0,1
NoC12,NoC13,black,0,1
NoC14,NoC15,black,0,1
NoC15,NoC16,black,0,1
NoC16,NoC17,black,0,1
NoC20,NoC21,black,0,1
NoC21,NoC22,black,0,1
NoC22,NoC23,black,0,1
NoC24,NoC25,black,0,1
NoC25,NoC26,black,0,1
NoC26,NoC27,black,0,1
NoC30,NoC31,black,0,1
NoC31,NoC32,black,0,1
NoC32,NoC33,black,0,1
NoC34,NoC35,black,0,1
NoC35,NoC36,black,0,1
NoC36,NoC37,black,0,1
NoC40,NoC41,black,0,1
NoC41,NoC42,black,0,1
NoC42,NoC43,black,0,1
NoC44,NoC45,black,0,1
NoC45,NoC46,black,0,1
NoC46,NoC47,black,0,1
NoC50,NoC51,black,0,1
NoC51,NoC52,black,0,1
NoC52,NoC53,black,0,1
NoC54,NoC55,black,0,1
NoC55,NoC56,black,0,1
NoC56,NoC57,black,0,1
NoC60,NoC61,black,0,1
NoC61,NoC62,black,0,1
NoC62,NoC63,black,0,1
NoC64,NoC65,black,0,1
NoC65,NoC66,black,0,1
NoC66,NoC67,black,0,1
NoC70,NoC71,black,0,1
NoC71,NoC72,black,0,1
NoC72,NoC73,black,0,1
NoC74,NoC75,black,0,1
NoC75,NoC76,black,0,1
NoC76,NoC77,black,0,1
NoC00,NoC10,black,0,1
NoC10,NoC20,black,0,1
NoC20,NoC30,black,0,1
NoC40,NoC50,black,0,1
NoC50,NoC60,black,0,1
NoC60,NoC70,black,0,1
NoC01,NoC11,black,0,1
NoC11,NoC21,black,0,1
NoC21,NoC31,black,0,1
NoC41,NoC51,black,0,1
NoC51,NoC61,black,0,1
NoC61,NoC71,black,0,1
NoC02,NoC12,black,0,1
NoC12,NoC22,black,0,1
NoC22,NoC32,black,0,1
NoC42,NoC52,black,0,1
NoC52,NoC62,black,0,1
NoC62,NoC72,black,0,1
NoC03,NoC13,black,0,1
NoC13,NoC23,black,0,1
NoC23,NoC33,black,0,1
NoC43,NoC53,black,0,1
NoC53,NoC63,black,0,1
NoC63,NoC73,black,0,1
NoC04,NoC14,black,0,1
NoC14,NoC24,black,0,1
NoC24,NoC34,black,0,1
NoC44,NoC54,black,0,1
NoC54,NoC64,black,0,1
NoC64,NoC74,black,0,1
NoC05,NoC15,black,0,1
NoC15,NoC25,black,0,1
NoC25,NoC35,black,0,1
NoC45,NoC55,black,0,1
NoC55,NoC65,black,0,1
NoC65,NoC75,black,0,1
NoC06,NoC16,black,0,1
NoC16,NoC26,black,0,1
NoC26,NoC36,black,0,1
NoC46,NoC56,black,0,1
NoC56,NoC66,black,0,1
NoC66,NoC76,black,0,1
NoC07,NoC17,black,0,1
NoC17,NoC27,black,0,1
NoC27,NoC37,black,0,1
NoC47,NoC57,black,0,1
NoC57,NoC67,black,0,1
NoC67,NoC77,black,0,1
NoI00,NoC00,black,0,0.2
NoI00,NoC10,black,0,0.2
NoI10,NoC20,black,0,0.2
NoI10,NoC30,black,0,0.2
NoI20,NoC40,black,0,0.2
NoI20,NoC50,black,0,0.2
NoI30,NoC60,black,0,0.2
NoI30,NoC70,black,0,0.2
NoI01,NoC01,black,0,0.2
NoI01,NoC11,black,0,0.2
NoI11,NoC21,black,0,0.2
NoI11,NoC31,black,0,0.2
NoI21,NoC41,black,0,0.2
NoI21,NoC51,black,0,0.2
NoI31,NoC61,black,0,0.2
NoI31,NoC71,black,0,0.2
NoI01,NoC02,black,0,0.2
NoI01,NoC12,black,0,0.2
NoI11,NoC22,black,0,0.2
NoI11,NoC32,black,0,0.2
NoI21,NoC42,black,0,0.2
NoI21,NoC52,black,0,0.2
NoI31,NoC62,black,0,0.2
NoI31,NoC72,black,0,0.2
NoI02,NoC03,black,0,0.2
NoI02,NoC13,black,0,0.2
NoI12,NoC23,black,0,0.2
NoI12,NoC33,black,0,0.2
NoI22,NoC43,black,0,0.2
NoI22,NoC53,black,0,0.2
