u,v,color,bend,opacity
Dir0,NoI00,red,0,0.5
Dir1,NoI00,red,0,0.5
Dir2,NoI10,red,0,0.5
Dir3,NoI10,red,0,0.5
Dir4,NoI20,red,0,0.5
Dir5,NoI20,red,0,0.5
Dir6,NoI30,red,0,0.5
Dir7,NoI30,red,0,0.5
Dir8,NoI04,red,0,0.5
Dir9,NoI04,red,0,0.5
Dir10,NoI14,red,0,0.5
Dir11,NoI14,red,0,0.5
Dir12,NoI24,red,0,1
Dir13,NoI24,red,0,1
Dir14,NoI34,red,0,1
Dir15,NoI34,red,0,1
NoC40,NoC41,black,0,1
NoC41,NoC42,black,0,1
NoC42,NoC43,black,0,1
NoC44,NoC45,black,0,1
NoC45,NoC46,black,0,1
NoC46,NoC47,black,0,1
NoC50,NoC51,black,0,1
NoC51,NoC52,black,0,1
NoC52,NoC53,black,0,1
NoC54,NoC55,black,0,1
NoC55,NoC56,black,0,1
NoC56,NoC57,black,0,1
NoC60,NoC61,black,0,1
NoC61,NoC62,black,0,1
NoC62,NoC63,black,0,1
NoC64,NoC65,black,0,1
NoC65,NoC66,black,0,1
NoC66,NoC67,black,0,1
NoC70,NoC71,black,0,1
NoC71,NoC72,black,0,1
NoC72,NoC73,black,0,1
NoC74,NoC75,black,0,1
NoC75,NoC76,black,0,1
NoC76,NoC77,black,0,1
NoC40,NoC50,black,0,1
NoC50,NoC60,black,0,1
NoC60,NoC70,black,0,1
NoC41,NoC51,black,0,1
NoC51,NoC61,black,0,1
NoC61,NoC71,black,0,1
NoC42,NoC52,black,0,1
NoC52,NoC62,black,0,1
NoC62,NoC72,black,0,1
NoC43,NoC53,black,0,1
NoC53,NoC63,black,0,1
NoC63,NoC73,black,0,1
NoC44,NoC54,black,0,1
NoC54,NoC64,black,0,1
NoC64,NoC74,black,0,1
NoC45,NoC55,black,0,1
NoC55,NoC65,black,0,1
NoC65,NoC75,black,0,1
NoC46,NoC56,black,0,1
NoC56,NoC66,black,0,1
NoC66,NoC76,black,0,1
NoC47,NoC57,black,0,1
NoC57,NoC67,black,0,1
NoC67,NoC77,black,0,1
NoI20,NoC40,black,0,0.2
NoI20,NoC50,black,0,0.2
NoI30,NoC60,black,0,0.2
NoI30,NoC70,black,0,0.2
NoI21,NoC41,black,0,0.2
NoI21,NoC51,black,0,0.2
NoI31,NoC61,black,0,0.2
NoI31,NoC71,black,0,0.2
NoI21,NoC42,black,0,0.2
NoI21,NoC52,black,0,0.2
NoI31,NoC62,black,0,0.2
NoI31,NoC72,black,0,0.2
NoI23,NoC45,black,0,0.2
NoI23,NoC55,black,0,0.2
NoI33,NoC65,black,0,0.2
NoI33,NoC75,black,0,0.2
NoI23,NoC46,black,0,0.2
NoI23,NoC56,black,0,0.2
NoI33,NoC66,black,0,0.2
NoI33,NoC76,black,0,0.2
NoI24,NoC47,black,0,1
NoI24,NoC57,black,0,1
NoI34,NoC67,black,0,1
NoI34,NoC77,black,0,1
NoI00,NoI01,red,0,0.2
NoI01,NoI02,red,0,0.2
NoI02,NoI03,red,0,0.2
NoI03,NoI04,red,0,0.2
NoI10,NoI11,red,0,0.2
NoI11,NoI12,red,0,0.2
NoI12,NoI13,red,0,0.2
NoI13,NoI14,red,0,0.2
NoI20,NoI21,red,0,0.2
NoI21,NoI22,red,0,0.2
NoI22,NoI23,red,0,0.2
NoI23,NoI24,red,0,0.2
NoI30,NoI31,red,0,0.2
NoI31,NoI32,red,0,0.2
NoI32,NoI33,red,0,0.2
NoI33,NoI34,red,0,0.2
NoI00,NoI10,red,0,0.2
NoI10,NoI20,red,0,0.2
NoI20,NoI30,red,0,0.2
NoI01,NoI11,red,0,0.2
NoI11,NoI21,red,0,0.2
NoI21,NoI31,red,0,0.2
NoI02,NoI12,red,0,0.2
NoI12,NoI22,red,0,0.2
NoI22,NoI32,red,0,0.2
NoI03,NoI13,red,0,0.2
NoI13,NoI23,red,0,0.2
NoI23,NoI33,red,0,0.2
NoI04,NoI14,red,0,0.2
NoI14,NoI24,red,0,0.2
NoI24,NoI34,red,0,0.2
