id,color,y,x,layer,opacity
NoC00,white,0,0,1,1
NoC01,white,0,2,1,1
NoC02,white,0,4,1,1
NoC03,white,0,6,1,1
NoC04,white,0,8,1,1
NoC05,white,0,10,1,1
NoC06,white,0,12,1,1
NoC07,white,0,14,1,1
NoC10,white,2,0,1,1
NoC11,white,2,2,1,1
NoC12,white,2,4,1,1
NoC13,white,2,6,1,1
NoC14,white,2,8,1,1
NoC15,white,2,10,1,1
NoC16,white,2,12,1,1
NoC17,white,2,14,1,1
NoC20,white,4,0,1,1
NoC21,white,4,2,1,1
NoC22,white,4,4,1,1
NoC23,white,4,6,1,1
NoC24,white,4,8,1,1
NoC25,white,4,10,1,1
NoC26,white,4,12,1,1
NoC27,white,4,14,1,1
NoC30,white,6,0,1,1
NoC31,white,6,2,1,1
NoC32,white,6,4,1,1
NoC33,white,6,6,1,1
NoC34,white,6,8,1,1
NoC35,white,6,10,1,1
NoC36,white,6,12,1,1
NoC37,white,6,14,1,1
NoC40,white,8,0,1,1
NoC41,white,8,2,1,1
NoC42,white,8,4,1,1
NoC43,white,8,6,1,1
NoC44,white,8,8,1,1
NoC45,white,8,10,1,1
NoC46,white,8,12,1,1
NoC47,white,8,14,1,1
NoC50,white,10,0,1,1
NoC51,white,10,2,1,1
NoC52,white,10,4,1,1
NoC53,white,10,6,1,1
NoC54,white,10,8,1,1
NoC55,white,10,10,1,1
NoC56,white,10,12,1,1
NoC57,white,10,14,1,1
NoC60,white,12,0,1,1
NoC61,white,12,2,1,1
NoC62,white,12,4,1,1
NoC63,white,12,6,1,1
NoC64,white,12,8,1,1
NoC65,white,12,10,1,1
NoC66,white,12,12,1,1
NoC67,white,12,14,1,1
NoC70,white,14,0,1,1
NoC71,white,14,2,1,1
NoC72,white,14,4,1,1
NoC73,white,14,6,1,1
NoC74,white,14,8,1,1
NoC75,white,14,10,1,1
NoC76,white,14,12,1,1
NoC77,white,14,14,1,1
NoI00,orange,1,0,2,1
Dir0,green,0,-4,2,1
Dir1,green,2,-4,2,1
NoI01,orange,1,3,2,1
NoI02,orange,1,7,2,1
NoI03,orange,1,11,2,1
NoI04,orange,1,14,2,1
Dir8,green,0,18,2,1
Dir9,green,2,18,2,1
NoI10,orange,5,0,2,1
Dir2,green,4,-4,2,1
Dir3,green,6,-4,2,1
NoI11,orange,5,3,2,1
NoI12,orange,5,7,2,1
NoI13,orange,5,11,2,1
NoI14,orange,5,14,2,1
Dir10,green,4,18,2,1
Dir11,green,6,18,2,1
NoI20,orange,9,0,2,1
Dir4,green,8,-4,2,1
Dir5,green,10,-4,2,1
NoI21,orange,9,3,2,1
NoI22,orange,9,7,2,1
NoI23,orange,9,11,2,1
NoI24,orange,9,14,2,1
Dir12,green,8,18,2,1
Dir13,green,10,18,2,1
NoI30,orange,13,0,2,1
Dir6,green,12,-4,2,1
Dir7,green,14,-4,2,1
NoI31,orange,13,3,2,1
NoI32,orange,13,7,2,1
NoI33,orange,13,11,2,1
NoI34,orange,13,14,2,1
Dir14,green,12,18,2,1
Dir15,green,14,18,2,1
